epoch,endogeq_1,total_loss
0,0.003383718430995941,0.003383718430995941
1,7.67353194532916e-05,7.67353194532916e-05
2,2.4106639102683403e-05,2.4106639102683403e-05
3,9.495952326687984e-06,9.495952326687984e-06
4,2.6998729936167365e-06,2.6998729936167365e-06
5,1.0588298664515605e-06,1.0588298664515605e-06
6,3.633863912000379e-07,3.633863912000379e-07
7,1.311956339122844e-07,1.311956339122844e-07
8,5.1076433749130956e-08,5.1076433749130956e-08
9,2.1054230359141002e-08,2.1054230359141002e-08
10,9.231452935409834e-09,9.231452935409834e-09
11,4.1128238592591515e-09,4.1128238592591515e-09
12,1.6313486117525144e-09,1.6313486117525144e-09
13,8.209185553553766e-10,8.209185553553766e-10
14,5.804410285747963e-10,5.804410285747963e-10
15,4.128455910468176e-10,4.128455910468176e-10
16,3.259517655784805e-10,3.259517655784805e-10
17,3.2331942678709424e-10,3.2331942678709424e-10
