epoch,endogvar_q_cond_q_min,endogvar_q_cond_q_max,endogvar_psi_cond_psi_min,endogvar_psi_cond_psi_max,endogeq_1,endogeq_2,total_loss
0,0.004529204685240984,0.0003812090144492686,0.0015621951315551996,0.0021130184177309275,0.5105297565460205,1.5353652238845825,4.439823150634766
1,4.653141513699666e-05,0.0009817176032811403,0.0012497991556301713,1.7324837244814262e-05,0.07412881404161453,1.3181841373443604,2.9400343894958496
2,0.0004320845182519406,0.0020659707952290773,0.00014815066242590547,0.00014751074195373803,0.24969637393951416,0.13854466378688812,0.8061573505401611
3,0.0014038834488019347,0.0005857189535163343,1.649860860197805e-05,1.3398576470535772e-08,0.2067919224500656,0.01975162886083126,0.44690659642219543
4,0.00037897322908975184,3.7078484638186637e-07,3.358273943376844e-07,5.627582504530437e-05,0.054584868252277374,0.043563783168792725,0.18530800938606262
5,0.00011305037332931533,7.21098986105062e-05,2.5980945792980492e-05,1.7869901057565585e-05,0.026936514303088188,0.03763815760612488,0.12511393427848816
6,6.224811659194529e-05,3.216228151359246e-06,6.245097029022872e-05,3.099363675573841e-05,0.017622927203774452,0.02876962348818779,0.0910530686378479
7,6.111340917414054e-05,6.786444828321692e-06,3.0512046578223817e-05,2.6061214157380164e-05,0.01671009138226509,0.02663077414035797,0.08241894841194153
8,9.30533351493068e-05,4.656646979128709e-06,7.685324817430228e-06,6.82868858348229e-07,0.009338002651929855,0.017923470586538315,0.05579276382923126
9,1.801735197659582e-05,2.0261013560229912e-05,2.294760270160623e-05,5.2857244554616045e-06,0.005851446650922298,0.011733386665582657,0.03596939146518707
10,3.6947938042430906e-07,1.5285810150089674e-05,2.282812238263432e-05,1.7439856492273975e-06,0.005553185008466244,0.011854507029056549,0.03328493982553482
11,4.584762791637331e-09,1.5011139112175442e-05,2.015758400375489e-05,1.4793671425650246e-06,0.005008622072637081,0.012219328433275223,0.0331125482916832
12,2.541531785027473e-07,1.3703368495043833e-05,2.049941940640565e-05,3.176161499141017e-06,0.003743555163964629,0.01266504731029272,0.03283695876598358
13,5.151741788722575e-08,1.192661511595361e-05,2.06256409001071e-05,3.2906241358432453e-06,0.0027908971533179283,0.013059605844318867,0.03249954804778099
14,2.0867537386948243e-07,1.0400424798717722e-05,2.005495480261743e-05,2.824458533723373e-06,0.0026587608736008406,0.013190267607569695,0.032388146966695786
15,2.730293545027962e-06,5.171783868718194e-06,1.8460523278918117e-05,1.0566641321929637e-06,0.0019207955338060856,0.01361280307173729,0.03188832849264145
16,6.97594259690959e-06,1.733873347120607e-07,1.612954838492442e-05,2.3348593458649702e-06,0.0013147136196494102,0.013222750276327133,0.03032158687710762
17,4.907932634523604e-06,3.581192231649766e-07,2.8378688512020744e-05,1.9254230210208334e-06,0.0001823132042773068,0.01209983229637146,0.027938993647694588
18,3.4064578358083963e-07,5.0923873118335905e-08,3.6945402825949714e-05,8.810872031972394e-08,0.0002951383648905903,0.011332608759403229,0.026702864095568657
19,2.518296241760254e-06,1.6254267620752216e-07,3.282474062871188e-05,1.0571543498372193e-06,0.001068158890120685,0.009606302715837955,0.023937037214636803
20,7.478371344404877e-08,7.216254402919731e-07,2.404777296760585e-05,4.980392986908555e-07,0.002114386297762394,0.00866755098104477,0.021983709186315536
21,1.0074984402308473e-08,2.8208535240992205e-06,2.184838922403287e-05,1.8694562697874062e-07,0.0025405872147530317,0.008344750851392746,0.021716715767979622
22,9.364227082642174e-08,2.535045496188104e-05,2.351325201743748e-05,1.8210130292573012e-08,0.0009946116479113698,0.004783501848578453,0.015459171496331692
23,1.400131168338703e-06,3.976091193180764e-06,9.21091759664705e-06,3.9400420064339414e-06,0.0016697837272658944,0.004142223857343197,0.011806949973106384
24,6.8793042373727076e-06,7.066915941322804e-08,1.1747998541977722e-05,1.022204401124327e-07,0.0006752608460374177,0.0035847413819283247,0.009724763222038746
25,5.1544479902077e-06,2.5547706172801554e-09,5.327052804204868e-06,2.4979067347885575e-06,0.0009757280349731445,0.0027043733280152082,0.0076826708391308784
26,2.310152012796607e-06,2.654542754498834e-07,1.4699576240673196e-06,1.3518894093067502e-06,0.0012608589604496956,0.002282098401337862,0.006364800967276096
27,2.262924681417644e-06,2.569252046669135e-07,1.4336185358843068e-06,1.4712586562382057e-06,0.0012616555904969573,0.0022743248846381903,0.006352778058499098
28,3.013437890331261e-06,2.7312489692121744e-07,7.172775440267287e-07,1.5838032823012327e-06,0.0011734935687854886,0.0022053257562220097,0.00614290963858366
29,4.760633601108566e-06,5.150070592208067e-07,1.3895719348511193e-06,2.220979013145552e-06,0.0010409638052806258,0.001750296214595437,0.005430175457149744
30,3.784953150898218e-06,3.677423592307605e-07,2.0335933186288457e-06,2.3727177449472947e-06,0.0011325764935463667,0.0016415604623034596,0.005271597765386105
31,2.700826826185221e-06,3.7895929949627316e-08,2.189645101680071e-06,2.1977668893669033e-06,0.0012314898194745183,0.0015806530136615038,0.0051054093055427074
32,2.2931517378310673e-06,1.6777471500972752e-07,2.1288622065185336e-06,2.0051340925419936e-06,0.0012515702983364463,0.0014954553917050362,0.004901973530650139
33,1.963322119991062e-06,6.369734819600126e-07,1.8340665519644972e-06,2.349820078961784e-06,0.0012941646855324507,0.0013697543181478977,0.004712091758847237
34,1.7813365502661327e-06,8.340481372215436e-07,1.4283422160588088e-06,2.0868060346401762e-06,0.0013209531316533685,0.0013508812990039587,0.0046357689425349236
35,1.3715034583583474e-06,9.395245115229045e-07,8.372083470931102e-07,2.2441345208790153e-06,0.00134505785536021,0.001267078099772334,0.004418451339006424
36,9.879704521154054e-07,4.1885130031005247e-07,4.319912534356263e-07,2.813650326061179e-06,0.0012753040064126253,0.001162454136647284,0.0040654586628079414
37,1.086029897123808e-06,7.458824313744117e-08,3.374527750565903e-07,3.0064061320445035e-06,0.0012137446319684386,0.0011066060978919268,0.003877404611557722
38,1.0122903404408135e-06,5.622396770377236e-09,2.728757522163505e-07,3.160035703331232e-06,0.0011781039647758007,0.0010342710884287953,0.0036917286925017834
39,8.451897883787751e-07,9.994641914090607e-08,3.9948423591340543e-07,1.566746732351021e-06,0.0011574547970667481,0.0010289483470842242,0.0035064881667494774
40,2.814104504977877e-07,8.757083946875355e-09,2.2324303472487372e-07,3.6608156506190426e-07,0.0012241097865626216,0.0008856915519572794,0.0030834421049803495
41,1.8293876564712264e-06,2.2161260915254388e-07,5.93720415054122e-08,8.29590476314479e-07,0.0010207038139924407,0.00044464494567364454,0.0022039900068193674
42,2.733051815084764e-06,7.695076931213407e-08,4.2753217854851755e-08,6.363076749948959e-07,0.0008722727652639151,0.000426458049332723,0.0020740951877087355
43,2.9344973881961778e-06,3.100139167599991e-08,1.9736919654178564e-08,5.066573294243426e-07,0.0008386766421608627,0.0004273580852895975,0.002042582258582115
44,2.9206275939941406e-06,6.059636348254571e-09,1.520831816037571e-08,6.257962468225742e-07,0.0007853256538510323,0.0004122488317079842,0.001966592390090227
45,2.16151215681748e-06,2.9344974450395966e-08,9.695725111669162e-09,7.366907084360719e-07,0.0007604626007378101,0.0004123065446037799,0.0018788001034408808
46,1.7064076018868946e-06,6.6292074052398675e-09,7.919172873016578e-09,6.178061653372424e-07,0.0007306515472009778,0.00042410066816955805,0.0018127290531992912
47,1.2674538538703928e-06,1.2825296380469808e-10,1.6575540939811617e-10,5.654621872963617e-07,0.00073710095603019,0.00042579357977956533,0.0017720090691000223
48,1.0554390428296756e-06,4.764061145579035e-09,7.914877642178908e-10,5.396772166932351e-07,0.0007424764917232096,0.0004256153479218483,0.0017537743551656604
