epoch,endogeq_1,total_loss
0,8.247730255126953,8.247730255126953
100,0.06763548403978348,0.06763548403978348
200,0.018214451149106026,0.018214451149106026
300,0.0014770901761949062,0.0014770901761949062
400,6.53112874715589e-06,6.53112874715589e-06
500,4.2965630200342275e-06,4.2965630200342275e-06
600,3.17615786116221e-06,3.17615786116221e-06
700,2.7745909392251633e-06,2.7745909392251633e-06
800,3.417109837755561e-06,3.417109837755561e-06
900,2.8205040507600643e-06,2.8205040507600643e-06
1000,1.972407062567072e-06,1.972407062567072e-06
1100,1.840506001826725e-06,1.840506001826725e-06
1200,1.5887752624621498e-06,1.5887752624621498e-06
1300,1.2013437071800581e-06,1.2013437071800581e-06
1400,1.1686045127135003e-06,1.1686045127135003e-06
1500,1.0405540251667844e-06,1.0405540251667844e-06
1600,8.345099331563688e-07,8.345099331563688e-07
1700,7.25969414361316e-07,7.25969414361316e-07
1800,5.890167358302278e-07,5.890167358302278e-07
1900,4.7273070435949194e-07,4.7273070435949194e-07
