epoch,endogvar_q_cond_q_min,endogvar_q_cond_q_max,endogvar_psi_cond_psi_min,endogvar_psi_cond_psi_max,system_crisis_region,system_normal_region,total_loss
0,0.12001246958971024,0.15645501017570496,0.4957064688205719,0.08544983714818954,43.15379333496094,0.0,128.91616821289062
100,0.0005073520005680621,0.00011351221473887563,0.0027019560802727938,0.000906059518456459,4.303478717803955,0.0002253366692457348,4.726592063903809
200,5.7276454754173756e-05,1.2350233191682491e-05,0.004860179033130407,0.0008140222053043544,3.2789855003356934,2.8007863875245675e-05,3.85339617729187
300,1.7323554857284762e-06,3.058089714613743e-05,0.004124291241168976,0.0005892671761102974,2.370614528656006,0.00018469210772309452,2.845386505126953
400,6.139330798760056e-05,0.00015749044541735202,0.0027202407363802195,0.00013577727077063173,1.2042720317840576,0.002948717214167118,1.5147109031677246
500,0.00018671812722459435,0.00020083763229195029,0.0015776647487655282,4.5976867113495246e-07,0.27690356969833374,0.02874392457306385,0.5022155046463013
600,0.00032508690492250025,0.00013391677930485457,0.0010126745328307152,2.6275870368408505e-09,0.1322454810142517,0.04844226688146591,0.3278558552265167
700,0.0003812182985711843,9.295446943724528e-05,0.0007665060111321509,3.372435131154816e-08,0.11280398070812225,0.049423545598983765,0.2862987816333771
800,0.00037540317862294614,6.722516991430894e-05,0.0006698185461573303,5.729907570639625e-08,0.10919474065303802,0.04281187057495117,0.2632570266723633
900,0.00032896726042963564,4.468947372515686e-05,0.0006306931609287858,7.465337148460094e-08,0.10531207919120789,0.03173227608203888,0.2374868094921112
1000,0.00024354121705982834,2.1102354367030784e-05,0.0006060336017981172,8.124176531509875e-08,0.09905707091093063,0.0181864146143198,0.2043193280696869
1100,0.00012710262672044337,2.2041335796529893e-06,0.0005790563300251961,6.477627323420165e-08,0.09049069136381149,0.006688964553177357,0.16802243888378143
1200,4.190210529486649e-05,2.974247991005541e-06,0.0005500767147168517,2.899884421481147e-08,0.08205331861972809,0.0035379803739488125,0.1450895071029663
1300,1.840090044424869e-05,8.755758244660683e-06,0.0005173672107048333,6.677826291934252e-09,0.07569827139377594,0.0042048292234539986,0.13435615599155426
1400,1.3867132111045066e-05,9.313953341916203e-06,0.00047748221550136805,6.356835058340948e-10,0.0701991468667984,0.004226104822009802,0.12449164688587189
1500,1.1790325515903533e-05,8.776229151408188e-06,0.0004352825926616788,8.645884008728899e-11,0.0645226538181305,0.004049135837703943,0.11415670812129974
1600,1.0163433216803242e-05,8.190910193661693e-06,0.0003928511287085712,1.53819712522818e-09,0.058647941797971725,0.0038518302608281374,0.10362046957015991
1700,8.729674846108537e-06,7.662703865207732e-06,0.0003515608550515026,3.0727420607945533e-09,0.05228454992175102,0.0036563193425536156,0.09273650497198105
1800,7.421105692628771e-06,7.160392215155298e-06,0.00031214827322401106,4.600920533448516e-09,0.045679546892642975,0.003474009223282337,0.08182699978351593
1900,6.243135430850089e-06,6.734991529810941e-06,0.00027542735915631056,4.6333212821991765e-09,0.03895137459039688,0.0033018141984939575,0.07109420001506805
