epoch,endogeq_1,endogeq_2,endogeq_3,hjbeq_1,hjbeq_2,total_loss
0,0.00010589721205178648,1.3027356802603789e-17,3.220292637706734e-05,0.00019140669610351324,2.937276804004796e-05,0.0003588795952964574
1,0.0001033431981340982,1.349254001804646e-17,3.751211625058204e-05,0.00010860506881726906,3.0539285944541916e-05,0.00027999968733638525
2,9.994462743634358e-05,1.403849245722126e-17,3.672458842629567e-05,0.00010407064110040665,3.124897921225056e-05,0.00027198882889933884
3,9.951730316970497e-05,1.419669902117815e-17,3.5448960261419415e-05,0.00010298539564246312,3.0110559237073176e-05,0.0002680622274056077
4,9.760046668816358e-05,1.426719797042482e-17,3.7027384678367525e-05,9.971645340556279e-05,2.96609869110398e-05,0.0002640052989590913
5,9.998668247135356e-05,1.4053757248245313e-17,3.389381890883669e-05,9.982909978134558e-05,2.971359936054796e-05,0.0002634231932461262
6,9.888681233860552e-05,1.3465339837963879e-17,3.452056262176484e-05,9.914138354361057e-05,2.9545688448706642e-05,0.000262094457866624
7,9.995548316510394e-05,1.3652134591071216e-17,3.2316766009898856e-05,9.859929559752345e-05,2.9699573133257218e-05,0.0002605711342766881
8,9.932988177752122e-05,1.3687939103885574e-17,3.23644962918479e-05,9.825464803725481e-05,2.9793229259666987e-05,0.0002597422571852803
9,9.894613322103396e-05,1.3642975220148416e-17,3.232789094909094e-05,9.828223119257018e-05,2.9834323868271895e-05,0.0002593905956018716
10,9.850629430729896e-05,1.3925249777001524e-17,3.266554995207116e-05,9.789143950911239e-05,2.9823679142282344e-05,0.00025888695381581783
11,9.88273968687281e-05,1.3222477955757085e-17,3.216755430912599e-05,9.77794625214301e-05,2.985195351357106e-05,0.00025862635811790824
12,9.846647299127653e-05,1.446731612165855e-17,3.241081503801979e-05,9.767867595655844e-05,2.985656465170905e-05,0.0002584125322755426
13,9.869255882222205e-05,1.2781164691250856e-17,3.204660242772661e-05,9.758959640748799e-05,2.9865630494896322e-05,0.0002581943990662694
14,9.840558777796105e-05,1.3041512344426409e-17,3.223123349016532e-05,9.746747673489153e-05,2.9860901122447103e-05,0.0002579652064014226
15,9.853792289504781e-05,1.4292455103248515e-17,3.19681093969848e-05,9.736560605233535e-05,2.9868606361560524e-05,0.0002577402628958225
16,9.83058926067315e-05,1.3323786074098904e-17,3.208708221791312e-05,9.724962001200765e-05,2.9876502594561316e-05,0.0002575191028881818
17,9.837956167757511e-05,1.2579381425444058e-17,3.1910476536722854e-05,9.728475561132655e-05,2.9887207347201183e-05,0.0002574620011728257
18,9.837060497375205e-05,1.2766732043923031e-17,3.188482151017524e-05,9.715522173792124e-05,2.9893897590227425e-05,0.00025730454945005476
19,9.820175910135731e-05,1.4248601295893403e-17,3.1967327231541276e-05,9.713485633255914e-05,2.990233406308107e-05,0.0002572062658146024
20,9.817695536185056e-05,1.2389533548695787e-17,3.196829493390396e-05,9.705180127639323e-05,2.990177381434478e-05,0.00025709884357638657
21,9.82004712568596e-05,1.2985446042507564e-17,3.187988113495521e-05,9.709435107652098e-05,2.9905942938057706e-05,0.0002570806536823511
22,9.820511331781745e-05,1.3675449503816636e-17,3.184277011314407e-05,9.701596718514338e-05,2.9911165256635286e-05,0.00025697500677779317
23,9.818105172598734e-05,1.2522205047143168e-17,3.183342778356746e-05,9.69671382335946e-05,2.9916714993305504e-05,0.00025689834728837013
24,9.813196083996445e-05,1.4341305081503446e-17,3.185040259268135e-05,9.698674693936482e-05,2.9921240638941526e-05,0.00025689034373499453
25,9.807661990635097e-05,1.2894962409661614e-17,3.18790043820627e-05,9.696929919300601e-05,2.9923990950919688e-05,0.0002568489289842546
26,9.803611465031281e-05,1.3685441018435664e-17,3.1895426218397915e-05,9.689846046967432e-05,2.9925487979198806e-05,0.0002567555056884885
27,9.802052227314562e-05,1.4076517949980322e-17,3.188296250300482e-05,9.687094279797748e-05,2.9927217838121578e-05,0.00025670163449831307
28,9.802421118365601e-05,1.4330758528693395e-17,3.184696470270865e-05,9.687933925306424e-05,2.993050111399498e-05,0.00025668099988251925
29,9.802966087590903e-05,1.324440485943464e-17,3.180850762873888e-05,9.685052646091208e-05,2.9935583370388485e-05,0.00025662427651695907
30,9.801956184674054e-05,1.3243572715738412e-17,3.1785748433321714e-05,9.680150833446532e-05,2.9941615139250644e-05,0.0002565484319347888
31,9.798778046388179e-05,1.4390432992444196e-17,3.1784835300641134e-05,9.678494825493544e-05,2.9947223083581775e-05,0.0002565047761891037
32,9.794320067157969e-05,1.17314485056833e-17,3.179997293045744e-05,9.678064088802785e-05,2.9951414035167545e-05,0.00025647523580119014
33,9.790141484700143e-05,1.4486467007200377e-17,3.1815656257094815e-05,9.674045577412471e-05,2.9953969715279527e-05,0.0002564114984124899
34,9.787589806364849e-05,1.3176959033828904e-17,3.18149286613334e-05,9.670068538980559e-05,2.995578688569367e-05,0.00025634729536250234
35,9.786840382730588e-05,1.4026557895343344e-17,3.179320628987625e-05,9.669025166658685e-05,2.9957980586914346e-05,0.0002563098387327045
36,9.786929877009243e-05,1.3475054247077701e-17,3.1761530408402905e-05,9.667742415331304e-05,2.9961309337522835e-05,0.0002562695590313524
37,9.786368173081428e-05,1.3332668339516499e-17,3.173588993377052e-05,9.664178651291877e-05,2.9965602152515203e-05,0.00025620695669203997
38,9.784301801119e-05,1.3507527703565308e-17,3.172565993736498e-05,9.661525837145746e-05,2.99700641335221e-05,0.00025615401682443917
39,9.780874097486958e-05,1.2988776271653703e-17,3.173030199832283e-05,9.660018986323848e-05,2.9973878554301336e-05,0.00025611312594264746
40,9.777142986422405e-05,1.3314349597670899e-17,3.1740251870360225e-05,9.657898772275075e-05,2.9976636142237112e-05,0.0002560672874096781
41,9.774335921974853e-05,1.277339332939592e-17,3.1742041755933315e-05,9.654554742155597e-05,2.9978737074998207e-05,0.0002560096909292042
42,9.77291856543161e-05,1.4566404087236277e-17,3.172812284901738e-05,9.652257722336799e-05,2.9980994440848008e-05,0.0002559608838055283
43,9.772454359335825e-05,1.3608835821907128e-17,3.170280251652002e-05,9.650722495280206e-05,2.9984086722834036e-05,0.00025591865414753556
44,9.771889745024964e-05,1.362354640192077e-17,3.167785325786099e-05,9.648330160416663e-05,2.998813579324633e-05,0.0002558681881055236
45,9.770326141733676e-05,1.323219319205152e-17,3.166291571687907e-05,9.64552818913944e-05,2.9992623240104876e-05,0.0002558140840847045
46,9.767591109266505e-05,1.284472524951943e-17,3.166030364809558e-05,9.64384526014328e-05,2.999692878802307e-05,0.0002557715924922377
47,9.76430019363761e-05,1.4140910651945125e-17,3.166460737702437e-05,9.64159335126169e-05,3.0000466722412966e-05,0.00025572400772944093
48,9.761452383827418e-05,1.3014589269849033e-17,3.166586975567043e-05,9.639083873480558e-05,3.0003311621840112e-05,0.0002556745312176645
49,9.759565000422299e-05,1.384503559146042e-17,3.1656618375563994e-05,9.636417962610722e-05,3.0005954613443464e-05,0.00025562240625731647
50,9.758542728377506e-05,1.3147815806487436e-17,3.163757355650887e-05,9.634685557102785e-05,3.0009012334630825e-05,0.0002555788669269532
51,9.757648513186723e-05,1.3876399798746593e-17,3.16167097480502e-05,9.632803994463757e-05,3.0012664865353145e-05,0.00025553390150889754
52,9.756100189406425e-05,1.385502793326006e-17,3.1602241506334394e-05,9.630282875150442e-05,3.0016713935765438e-05,0.00025548276607878506
53,9.753644553711638e-05,1.3606615669143035e-17,3.159728294122033e-05,9.62822959991172e-05,3.0020586564205587e-05,0.0002554366074036807
54,9.750650497153401e-05,1.3588296927297436e-17,3.159870902891271e-05,9.626201062928885e-05,3.0023955332580954e-05,0.0002553911763243377
55,9.747857984621078e-05,1.3426759307013793e-17,3.159912375849672e-05,9.623775258660316e-05,3.002676930918824e-05,0.0002553422236815095
56,9.745756688062102e-05,1.3970213660738682e-17,3.159233892802149e-05,9.621562639949843e-05,3.0029405024833977e-05,0.00025529495906084776
57,9.744372800923884e-05,1.2975731633393742e-17,3.157756509608589e-05,9.619545744499192e-05,3.0032357244635932e-05,0.0002552491205278784
58,9.743163536768407e-05,1.3659073809229923e-17,3.156035381834954e-05,9.617509931558743e-05,3.0035780582693405e-05,0.00025520287454128265
59,9.741556277731434e-05,1.3456180467041079e-17,3.154710793751292e-05,9.615292947273701e-05,3.0039633202250116e-05,0.000255155231570825
60,9.739264351082966e-05,1.3120337693719037e-17,3.1540883355773985e-05,9.613185829948634e-05,3.0043505830690265e-05,0.0002551088691689074
61,9.736520587466657e-05,1.3091472399063386e-17,3.15397119265981e-05,9.61115219979547e-05,3.004695645358879e-05,0.000255063408985734
62,9.733869228512049e-05,1.2238820413908013e-17,3.1538358598481864e-05,9.60872057476081e-05,3.0050041459617205e-05,0.0002550143108237535
63,9.731723548611626e-05,1.352640148360193e-17,3.153173020109534e-05,9.6065406978596e-05,3.005294274771586e-05,0.00025496730813756585
64,9.730133751872927e-05,1.3385958623299615e-17,3.15191900881473e-05,9.604863589629531e-05,3.0056060495553538e-05,0.0002549252239987254
65,9.728725126478821e-05,1.3804234907746242e-17,3.150442353216931e-05,9.602782665751874e-05,3.0059425625950098e-05,0.00025487891980446875
66,9.727029828354716e-05,1.2749523378459478e-17,3.149238182231784e-05,9.600469638826326e-05,3.0063092708587646e-05,0.0002548304619267583
67,9.724823758006096e-05,1.427552437047078e-17,3.148558607790619e-05,9.598482574801892e-05,3.0066723411437124e-05,0.0002547853800933808
68,9.722278628032655e-05,1.3159195330174328e-17,3.1482704798690975e-05,9.596570453140885e-05,3.0070083084865473e-05,0.00025474128779023886
69,9.719799709273502e-05,1.3538891910851481e-17,3.147962343064137e-05,9.594550647307187e-05,3.0073084417381324e-05,0.0002546962059568614
70,9.717718057800084e-05,1.2650436240062363e-17,3.147262759739533e-05,9.592640708433464e-05,3.007595478266012e-05,0.00025465217186138034
71,9.71603294601664e-05,1.2825018498605967e-17,3.1461237085750327e-05,9.590431000106037e-05,3.0078886993578635e-05,0.0002546047617215663
72,9.714467887533829e-05,1.3893330531524328e-17,3.144843867630698e-05,9.588510874891654e-05,3.0082068406045437e-05,0.00025456029106862843
73,9.712691826280206e-05,1.416533564107259e-17,3.143781941616908e-05,9.586183296050876e-05,3.008539897564333e-05,0.00025451197871007025
74,9.710529411677271e-05,1.3365974766880946e-17,3.1431205570697784e-05,9.584295912645757e-05,3.008871317433659e-05,0.00025446817744523287
75,9.708131256047636e-05,1.386002410415988e-17,3.142728382954374e-05,9.582094207871705e-05,3.0091818189248443e-05,0.00025442137848585844
76,9.70581968431361e-05,1.4073741931844594e-17,3.1422921892954037e-05,9.580262121744454e-05,3.0094683097559027e-05,0.0002543784212321043
77,9.70379333011806e-05,1.2796985347646545e-17,3.1415504054166377e-05,9.578128810971975e-05,3.0097446142463014e-05,0.00025433217524550855
78,9.702053648652509e-05,1.4297174995823742e-17,3.140500848530792e-05,9.576285810908303e-05,3.0100278308964334e-05,0.0002542886941228062
79,9.700379450805485e-05,1.228323008663476e-17,3.139379259664565e-05,9.574293653713539e-05,3.0103296012384817e-05,0.0002542438160162419
80,9.698510257294402e-05,1.4126200071931482e-17,3.138450119877234e-05,9.572294220561162e-05,3.0106455596978776e-05,0.00025419899611733854
81,9.696368942968547e-05,1.4316603814051388e-17,3.1378131097881123e-05,9.570299152983353e-05,3.0109507861197926e-05,0.00025415432173758745
82,9.694088657852262e-05,1.4422352237921392e-17,3.1373525416711345e-05,9.568269160808995e-05,3.0112369131529704e-05,0.0002541094727348536
83,9.69189204624854e-05,1.275673970212339e-17,3.1368173949886113e-05,9.566369408275932e-05,3.0115059416857548e-05,0.000254065846092999
84,9.689933358458802e-05,1.2999323651644366e-17,3.136039958917536e-05,9.564336505718529e-05,3.011766057170462e-05,0.0002540207642596215
85,9.688168938737363e-05,1.2342348685013925e-17,3.135055158054456e-05,9.562486229697242e-05,3.0120367227937095e-05,0.0002539774577599019
86,9.686415432952344e-05,1.2618239061899349e-17,3.134055805276148e-05,9.560512262396514e-05,3.0123184842523187e-05,0.00025393301621079445
87,9.684472752269357e-05,1.2463918592460231e-17,3.133235441055149e-05,9.558474994264543e-05,3.0126075216685422e-05,0.0002538879052735865
88,9.682323434390128e-05,1.4068467828258956e-17,3.132637357339263e-05,9.556504664942622e-05,3.0128850994515233e-05,0.00025384349282830954
89,9.680135553935543e-05,1.3815337325927928e-17,3.132124766125344e-05,9.554604184813797e-05,3.013149216712918e-05,0.000253800128120929
90,9.678048809291795e-05,1.392219582617998e-17,3.131514313281514e-05,9.552768460707739e-05,3.0133986001601443e-05,0.00025375731638632715
91,9.676144691184163e-05,1.2972678509752808e-17,3.1307066819863394e-05,9.550683898851275e-05,3.0136494387988932e-05,0.00025371185620315373
92,9.674346074461937e-05,1.3822276544086636e-17,3.129784090560861e-05,9.548677189741284e-05,3.0139035516185686e-05,0.0002536670945119113
93,9.672509622760117e-05,1.390804111153797e-17,3.1289000617107376e-05,9.546872752252966e-05,3.0141676688799635e-05,0.00025362451560795307
94,9.670524013927206e-05,1.3181955204728724e-17,3.12817792291753e-05,9.54500210355036e-05,3.014433241332881e-05,0.00025358135462738574
95,9.668416896602139e-05,1.3134770341046862e-17,3.1275994842872024e-05,9.543182386551052e-05,3.01468407997163e-05,0.00025353883393108845
96,9.66629377217032e-05,1.388417198778214e-17,3.1270363251678646e-05,9.541267354506999e-05,3.0149240046739578e-05,0.00025349523639306426
97,9.66429288382642e-05,1.3798128660464375e-17,3.126368028461002e-05,9.539369057165459e-05,3.0151604732964188e-05,0.0002534519007895142
98,9.662412048783153e-05,1.4361567697788545e-17,3.125558214378543e-05,9.53733833739534e-05,3.0153958505252376e-05,0.00025340705178678036
99,9.660583600634709e-05,1.3473666238009837e-17,3.124712020508014e-05,9.535482240607962e-05,3.0156363209243864e-05,0.00025336415274068713
100,9.658672206569463e-05,1.438932291606215e-17,3.1239378586178645e-05,9.533645061310381e-05,3.015877700818237e-05,0.0002533213410060853
101,9.656658221501857e-05,1.2848055478665569e-17,3.123293208773248e-05,9.531764953862876e-05,3.016112714249175e-05,0.00025327829644083977
102,9.654571476858109e-05,1.3288258666789752e-17,3.122731504845433e-05,9.52969494392164e-05,3.0163419069140218e-05,0.00025323338923044503
103,9.652511653257534e-05,1.4252765323096995e-17,3.1221366953104734e-05,9.527790098218247e-05,3.0165581847541034e-05,0.00025318999541923404
104,9.650542779127136e-05,1.417421625212896e-17,3.121443296549842e-05,9.526198118692264e-05,3.01677700917935e-05,0.00025314962840639055
105,9.648681589169428e-05,1.3385403585108592e-17,3.1206593121169135e-05,9.524127381155267e-05,3.017000199179165e-05,0.0002531046629883349
106,9.646816761232913e-05,1.3488098885337663e-17,3.119880420854315e-05,9.522542677586898e-05,3.0172230253810994e-05,0.0002530646452214569
107,9.64486098382622e-05,1.3638812020125437e-17,3.119197572232224e-05,9.520514868199825e-05,3.0174442144925706e-05,0.000253020174568519
