epoch,endogeq_1,endogeq_2,endogeq_3,hjbeq_1,hjbeq_2,total_loss
0,0.00025039847241714597,2.10212401684836e-17,2.7323181711835787e-05,0.000722679600585252,5.016265276935883e-05,0.0010505638783797622
100,0.00015721489035058767,2.0320411394498046e-17,3.916645800927654e-05,0.0002542600850574672,5.166388291399926e-05,0.0005023053381592035
200,0.00014635817205999047,2.1330159040047652e-17,3.502329855109565e-05,0.00023587759642396122,5.238734956947155e-05,0.0004696464166045189
300,0.0001382222108077258,2.0530798165856008e-17,3.27629859384615e-05,0.00022381891903933138,5.346703255781904e-05,0.0004482711374294013
400,0.00013234390644356608,2.0874136022708393e-17,3.1245908758137375e-05,0.0002150210493709892,5.372754094423726e-05,0.0004323383909650147
500,0.00012806429003831,2.1038725112271745e-17,3.004468817380257e-05,0.00020786029926966876,5.3205236326903105e-05,0.0004191744956187904
600,0.00012465074541978538,1.9890755586364527e-17,2.9087294024066068e-05,0.00020158190454822034,5.224642518442124e-05,0.00040756637463346124
700,0.00012160802725702524,2.0719535966222232e-17,2.8385320547386073e-05,0.00019591236195992678,5.110893107485026e-05,0.0003970146644860506
800,0.0001186964800581336,2.020161833236808e-17,2.7920490538235754e-05,0.0001907303958432749,4.989979788661003e-05,0.0003872471861541271
900,0.00011582668230403215,2.136457637097476e-17,2.7650767151499167e-05,0.00018595177971292287,4.864641232416034e-05,0.0003780756378546357
1000,0.00011298390745650977,2.128408507992845e-17,2.7526401026989333e-05,0.0001814952411223203,4.735590482596308e-05,0.0003693614271469414
1100,0.0001101769448723644,2.0005108342966308e-17,2.7500327632878907e-05,0.00017728070088196546,4.6041801397223026e-05,0.0003609997802414
1200,0.00010741755249910057,2.1576073218714767e-17,2.7534744731383398e-05,0.00017324111831840128,4.472584623727016e-05,0.0003529192472342402
1300,0.00010471526911715046,2.0100864425036672e-17,2.7599586246651597e-05,0.00016933341976255178,4.343070031609386e-05,0.00034507899545133114
1400,0.00010207581362919882,1.9957090508407605e-17,2.767013938864693e-05,0.00016552455781493336,4.217968671582639e-05,0.00033745021210052073
1500,9.950477397069335e-05,2.1129486677803513e-17,2.773118467302993e-05,0.00016179830709006637,4.098494537174702e-05,0.0003300192183814943
1600,9.700394730316475e-05,1.9932111308269728e-17,2.7768044674303383e-05,0.0001581457327120006,3.985820148955099e-05,0.0003227759152650833
1700,9.457155829295516e-05,1.942501650555022e-17,2.7775749913416803e-05,0.0001545651612104848,3.8803100324003026e-05,0.00031571555882692337
1800,9.221570508088917e-05,2.108979524329077e-17,2.7421659979154356e-05,0.00021171710977796465,3.840352292172611e-05,0.0003697579959407449
1900,9.036457049660385e-05,2.090993970834214e-17,2.7752785172197036e-05,0.0001481915678596124,3.698890213854611e-05,0.0003032978274859488
2000,8.842071110848337e-05,2.0268231187096976e-17,2.7877389584318735e-05,0.0001510097790742293,3.6223616916686296e-05,0.0003035315021406859
2100,8.684124622959644e-05,2.1035672815811424e-17,2.7663483706419356e-05,0.00014276374713517725,3.557832314982079e-05,0.00029284681659191847
2200,8.522178541170433e-05,2.033262388906178e-17,2.753714579739608e-05,0.00014829594874754548,3.506679058773443e-05,0.00029612169601023197
2300,8.377768972422928e-05,1.9981793430220888e-17,2.7493642846820876e-05,0.00013797446445096284,3.442400702624582e-05,0.0002836697967723012
